Frame 32: X=729, Y=624, Radius=51, Velocity=14.4, DetectionNum=0
Frame 50: X=929, Y=766, Radius=49, Velocity=14.4, DetectionNum=0
Frame 74: X=657, Y=1008, Radius=51, Velocity=14.4, DetectionNum=0
Frame 32: X=729, Y=624, Radius=51, Velocity=13.38, DetectionNum=1
Frame 50: X=929, Y=766, Radius=49, Velocity=13.38, DetectionNum=1
Frame 82: X=696, Y=1116, Radius=48, Velocity=13.38, DetectionNum=1
Frame 33: X=864, Y=864, Radius=60, Velocity=59.59, DetectionNum=2
Frame 38: X=735, Y=1129, Radius=61, Velocity=59.59, DetectionNum=2
Frame 49: X=521, Y=1756, Radius=61, Velocity=59.59, DetectionNum=2
Frame 37: X=519, Y=753, Radius=61, Velocity=90.58, DetectionNum=3
Frame 44: X=728, Y=1358, Radius=60, Velocity=90.58, DetectionNum=3
Frame 49: X=521, Y=1756, Radius=61, Velocity=90.58, DetectionNum=3
Frame 39: X=333, Y=639, Radius=35, Velocity=41.53, DetectionNum=4
Frame 52: X=207, Y=1170, Radius=35, Velocity=41.53, DetectionNum=4
Frame 58: X=359, Y=1364, Radius=33, Velocity=41.53, DetectionNum=4
Frame 39: X=333, Y=639, Radius=35, Velocity=41.81, DetectionNum=5
Frame 52: X=207, Y=1170, Radius=35, Velocity=41.81, DetectionNum=5
Frame 72: X=951, Y=1544, Radius=33, Velocity=41.81, DetectionNum=5
Frame 39: X=333, Y=639, Radius=35, Velocity=16.92, DetectionNum=6
Frame 55: X=430, Y=908, Radius=33, Velocity=16.92, DetectionNum=6
Frame 93: X=477, Y=1513, Radius=31, Velocity=16.92, DetectionNum=6
Frame 39: X=1079, Y=485, Radius=17, Velocity=45.07, DetectionNum=7
Frame 49: X=736, Y=767, Radius=16, Velocity=45.07, DetectionNum=7
Frame 58: X=1078, Y=996, Radius=14, Velocity=45.07, DetectionNum=7
Frame 39: X=1079, Y=485, Radius=17, Velocity=12.54, DetectionNum=8
Frame 77: X=613, Y=496, Radius=15, Velocity=12.54, DetectionNum=8
Frame 94: X=432, Y=617, Radius=16, Velocity=12.54, DetectionNum=8
Frame 39: X=587, Y=448, Radius=68, Velocity=10.39, DetectionNum=9
Frame 67: X=621, Y=744, Radius=67, Velocity=10.39, DetectionNum=9
Frame 84: X=793, Y=757, Radius=68, Velocity=10.39, DetectionNum=9
Frame 39: X=587, Y=448, Radius=68, Velocity=22.95, DetectionNum=10
Frame 68: X=549, Y=1117, Radius=67, Velocity=22.95, DetectionNum=10
Frame 86: X=649, Y=1515, Radius=68, Velocity=22.95, DetectionNum=10
Frame 40: X=803, Y=899, Radius=68, Velocity=11.07, DetectionNum=11
Frame 68: X=549, Y=1117, Radius=67, Velocity=11.07, DetectionNum=11
Frame 85: X=721, Y=1136, Radius=68, Velocity=11.07, DetectionNum=11
Frame 40: X=803, Y=899, Radius=68, Velocity=23.15, DetectionNum=12
Frame 69: X=476, Y=1490, Radius=67, Velocity=23.15, DetectionNum=12
Frame 87: X=576, Y=1892, Radius=68, Velocity=23.15, DetectionNum=12
Frame 48: X=520, Y=383, Radius=16, Velocity=39.12, DetectionNum=13
Frame 80: X=1046, Y=1490, Radius=15, Velocity=39.12, DetectionNum=13
Frame 101: X=289, Y=1851, Radius=16, Velocity=39.12, DetectionNum=13
Frame 58: X=1078, Y=996, Radius=14, Velocity=40.92, DetectionNum=14
Frame 85: X=0, Y=1268, Radius=16, Velocity=40.92, DetectionNum=14
Frame 101: X=289, Y=1851, Radius=16, Velocity=40.92, DetectionNum=14
