Frame 0: X=839, Y=1211, Radius=13
Frame 0: X=822, Y=793, Radius=43
Frame 1: X=767, Y=1816, Radius=13
Frame 1: X=751, Y=1192, Radius=43
Frame 2: X=679, Y=1589, Radius=43
Frame 32: X=729, Y=624, Radius=51
Frame 32: X=595, Y=452, Radius=20
Frame 32: X=936, Y=432, Radius=60
Frame 33: X=945, Y=1248, Radius=51
Frame 33: X=523, Y=905, Radius=20
Frame 33: X=864, Y=864, Radius=60
Frame 34: X=451, Y=1357, Radius=20
Frame 34: X=792, Y=1297, Radius=60
Frame 35: X=379, Y=1810, Radius=20
Frame 35: X=719, Y=1728, Radius=60
Frame 36: X=157, Y=570, Radius=22
Frame 36: X=622, Y=463, Radius=27
Frame 36: X=302, Y=375, Radius=61
Frame 37: X=551, Y=929, Radius=27
Frame 37: X=519, Y=753, Radius=61
Frame 38: X=479, Y=1393, Radius=27
Frame 38: X=85, Y=1140, Radius=22
Frame 38: X=735, Y=1129, Radius=61
Frame 39: X=407, Y=1859, Radius=27
Frame 39: X=14, Y=1710, Radius=22
Frame 39: X=951, Y=1506, Radius=61
Frame 39: X=333, Y=639, Radius=35
Frame 39: X=1079, Y=485, Radius=17
Frame 39: X=587, Y=448, Radius=68
Frame 40: X=803, Y=899, Radius=68
Frame 41: X=1019, Y=1347, Radius=68
Frame 41: X=549, Y=1277, Radius=35
Frame 42: X=115, Y=478, Radius=64
Frame 42: X=872, Y=453, Radius=60
Frame 42: X=607, Y=420, Radius=40
Frame 43: X=766, Y=1916, Radius=35
Frame 43: X=43, Y=957, Radius=64
Frame 43: X=808, Y=883, Radius=84
Frame 44: X=1, Y=1436, Radius=56
Frame 44: X=728, Y=1358, Radius=60
Frame 44: X=1039, Y=1262, Radius=40
Frame 44: X=784, Y=595, Radius=23
Frame 44: X=268, Y=502, Radius=54
Frame 44: X=274, Y=366, Radius=58
Frame 45: X=1000, Y=1190, Radius=23
Frame 45: X=484, Y=1004, Radius=54
Frame 45: X=489, Y=732, Radius=58
Frame 46: X=656, Y=1812, Radius=60
Frame 46: X=699, Y=1505, Radius=54
Frame 46: X=705, Y=1099, Radius=58
Frame 47: X=922, Y=1467, Radius=58
Frame 47: X=665, Y=585, Radius=61
Frame 48: X=592, Y=1171, Radius=61
Frame 48: X=520, Y=383, Radius=16
Frame 49: X=521, Y=1756, Radius=61
Frame 49: X=736, Y=767, Radius=16
Frame 49: X=317, Y=612, Radius=5
Frame 49: X=253, Y=535, Radius=26
Frame 49: X=1001, Y=383, Radius=49
Frame 50: X=533, Y=1224, Radius=5
Frame 50: X=181, Y=1069, Radius=26
Frame 50: X=929, Y=766, Radius=49
Frame 51: X=749, Y=1837, Radius=5
Frame 51: X=952, Y=1151, Radius=16
Frame 51: X=857, Y=1149, Radius=49
Frame 51: X=117, Y=608, Radius=50
Frame 51: X=279, Y=585, Radius=35
Frame 51: X=453, Y=421, Radius=61
Frame 52: X=109, Y=1605, Radius=26
Frame 52: X=44, Y=1216, Radius=50
Frame 52: X=207, Y=1170, Radius=35
Frame 52: X=669, Y=845, Radius=61
Frame 53: X=0, Y=1824, Radius=41
Frame 53: X=135, Y=1755, Radius=35
Frame 53: X=884, Y=1267, Radius=61
Frame 53: X=926, Y=560, Radius=5
Frame 53: X=502, Y=454, Radius=33
Frame 54: X=854, Y=1121, Radius=5
Frame 55: X=782, Y=1682, Radius=5
Frame 55: X=1077, Y=1691, Radius=56
Frame 55: X=786, Y=1533, Radius=49
Frame 55: X=430, Y=908, Radius=33
Frame 55: X=432, Y=581, Radius=45
